Date-time;Type;Metadato grafico storico;SER007 - San Giorgio - Misura livello vasca sinistra (m);SER007 - San Giorgio - Misura livello vasca destra (m);SER007 - San Giorgio - Portata ingresso vasca (l/s);SER007 - San Giorgio - Portata uscita Guncina (l/s);SER007 - San Giorgio - Portata uscita Rafenstein (l/s)
2025/03/16 07:45:00;A;;2,92;2,87;0,0;0,6;0,9
2025/03/16 07:45:01;P;;;;;;0,9
2025/03/16 07:50:00;A;;;;;0,8;0,3
2025/03/16 07:55:00;A;;;;;0,6;
2025/03/16 08:00:00;A;;2,90;2,85;0,0;0,5;0,5
2025/03/16 08:00:01;P;;;;;;0,5
2025/03/16 08:05:00;A;;;;;0,0;
2025/03/16 08:10:00;A;;;;;0,5;
2025/03/16 08:15:00;A;;2,88;2,83;0,0;0,8;0,4
2025/03/16 08:15:01;P;;;;;0,8;
2025/03/16 08:20:00;A;;;;;;0,7
2025/03/16 08:25:00;A;;;;;0,6;
2025/03/16 08:30:00;P;;2,85;2,81;0,0;0,5;0,6
2025/03/16 08:45:00;A;;2,84;2,79;0,0;0,9;0,3
2025/03/16 08:45:01;P;;;;;0,9;0,3
2025/03/16 08:55:00;A;;;;;0,6;
2025/03/16 09:00:00;P;;2,82;2,77;0,0;0,5;0,3
2025/03/16 09:15:00;A;;2,80;2,75;0,0;1,0;0,4
2025/03/16 09:15:01;P;;;;;1,0;
2025/03/16 09:25:00;A;;;;;0,7;0,2
2025/03/16 09:30:00;P;;2,78;2,73;0,0;0,6;0,2
2025/03/16 09:40:00;A;;;;;0,0;
2025/03/16 09:45:00;P;;2,77;2,72;0,0;0,0;0,2
2025/03/16 10:00:00;A;;2,76;2,71;0,0;0,0;0,4
2025/03/16 10:00:01;P;;;;;;0,4
2025/03/16 10:05:00;A;;;;;0,5;
2025/03/16 10:15:00;P;;2,74;2,69;0,0;0,5;0,4
2025/03/16 10:30:00;P;;2,72;2,68;0,0;0,5;0,4
2025/03/16 10:40:00;A;;;;;0,0;
2025/03/16 10:45:00;P;;2,70;2,66;0,0;0,0;0,2
2025/03/16 10:55:00;A;;;;;0,8;
2025/03/16 11:00:00;P;;2,70;2,65;0,0;0,6;0,2
2025/03/16 11:10:00;A;;;;;;0,0
2025/03/16 11:15:00;P;;2,68;2,64;0,0;0,5;0,2
2025/03/16 11:30:00;P;;2,67;2,62;0,0;0,5;0,3
2025/03/16 11:40:00;A;;;;;0,0;
2025/03/16 11:45:00;P;;2,66;2,61;0,0;0,0;0,3
2025/03/16 11:50:00;A;;;;;;0,6
2025/03/16 12:00:00;P;;2,64;2,59;0,0;0,0;0,4
2025/03/16 12:15:00;P;;2,63;2,58;0,0;0,0;0,4
2025/03/16 12:20:00;A;;;;;0,5;
2025/03/16 12:25:00;A;;;;;;0,7
2025/03/16 12:30:00;P;;2,61;2,56;0,0;0,5;0,7
2025/03/16 12:35:00;A;;;;;0,0;
2025/03/16 12:45:00;A;;2,60;2,55;0,0;0,0;0,4
2025/03/16 12:45:01;P;;;;;;0,4
2025/03/16 13:00:00;P;;2,59;2,54;0,0;0,0;0,3
2025/03/16 13:10:00;A;;;;;0,4;
2025/03/16 13:15:00;P;;2,57;2,52;0,0;0,6;0,3
2025/03/16 13:25:00;A;;;;;0,0;
2025/03/16 13:30:00;P;;2,56;2,51;0,0;0,0;0,3
2025/03/16 13:45:00;P;;2,55;2,50;0,0;0,0;0,2
2025/03/16 14:00:00;P;;2,54;2,49;0,0;0,0;0,2
2025/03/16 14:15:00;P;;2,54;2,48;0,0;0,0;0,3
2025/03/16 14:30:00;P;;2,52;2,47;0,0;0,0;0,3
2025/03/16 14:45:00;P;;2,51;2,46;0,0;0,0;0,1
2025/03/16 15:00:00;P;;2,50;2,45;0,0;0,0;0,0
2025/03/16 15:05:00;A;;;;;;0,2
2025/03/16 15:15:00;P;;2,52;2,47;0,0;0,0;0,2
2025/03/16 15:22:00;A;;2,58;2,53;;;
2025/03/16 15:29:00;A;;2,63;2,58;;;
2025/03/16 15:30:00;A;;2,64;2,59;0,0;0,5;0,3
2025/03/16 15:30:01;P;;;;;0,5;
