Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 10:14:00;A;;;;29,25
2025/03/01 10:15:00;A;;6,7;70,8;26,97
2025/03/01 10:15:01;P;;;;26,97
2025/03/01 10:16:00;A;;;;26,76
2025/03/01 10:17:00;A;;;;27,00
2025/03/01 10:19:00;A;;;;25,75
2025/03/01 10:20:00;A;;;;27,07
2025/03/01 10:21:00;A;;;;26,74
2025/03/01 10:22:00;A;;;;27,06
2025/03/01 10:24:00;A;;;;25,38
2025/03/01 10:25:00;A;;;;27,17
2025/03/01 10:26:00;A;;;;26,88
2025/03/01 10:29:00;A;;;;27,60
2025/03/01 10:30:00;A;;6,9;70,7;26,89
2025/03/01 10:30:01;P;;;;26,89
2025/03/01 10:31:00;A;;;;27,17
2025/03/01 10:32:00;A;;;;25,20
2025/03/01 10:33:00;A;;;;27,23
2025/03/01 10:34:00;A;;;;26,61
2025/03/01 10:35:00;A;;;;26,97
2025/03/01 10:36:00;A;;;;26,55
2025/03/01 10:38:00;A;;;;27,39
2025/03/01 10:39:00;A;;;;26,93
2025/03/01 10:41:00;A;;;;26,38
2025/03/01 10:42:00;A;;;;26,13
2025/03/01 10:43:00;A;;;;27,94
2025/03/01 10:44:00;A;;;;27,21
2025/03/01 10:45:00;P;;6,9;70,3;27,15
2025/03/01 10:46:00;A;;;;28,67
2025/03/01 10:47:00;A;;;;27,01
2025/03/01 10:48:00;A;;;;26,65
2025/03/01 10:51:00;A;;;;27,24
2025/03/01 10:53:00;A;;;;26,89
2025/03/01 10:55:00;A;;;;26,66
2025/03/01 10:56:00;A;;;;27,37
2025/03/01 10:57:00;A;;;;27,66
2025/03/01 10:58:00;A;;;;27,13
2025/03/01 10:59:00;A;;;;27,50
2025/03/01 11:00:00;A;;6,8;70,6;26,68
2025/03/01 11:00:01;P;;;;26,68
2025/03/01 11:01:00;A;;;;26,41
2025/03/01 11:03:00;A;;;;27,03
2025/03/01 11:05:00;A;;;;26,38
2025/03/01 11:06:00;A;;;;27,31
2025/03/01 11:07:00;A;;;;26,49
2025/03/01 11:08:00;A;;;;26,28
2025/03/01 11:09:00;A;;;;26,65
2025/03/01 11:10:00;A;;;;26,97
2025/03/01 11:11:00;A;;;;27,31
2025/03/01 11:15:00;A;;6,8;70,3;26,91
2025/03/01 11:15:01;P;;;;26,91
2025/03/01 11:16:00;A;;;;27,12
2025/03/01 11:18:00;A;;;;26,75
2025/03/01 11:20:00;A;;;;27,01
2025/03/01 11:21:00;A;;;;26,26
2025/03/01 11:22:00;A;;;;30,23
2025/03/01 11:23:00;A;;;;26,91
2025/03/01 11:26:00;A;;;;27,16
2025/03/01 11:27:00;A;;;;26,87
2025/03/01 11:28:00;A;;;;27,19
2025/03/01 11:29:00;A;;;;26,94
2025/03/01 11:30:00;A;;6,9;69,9;27,69
2025/03/01 11:30:01;P;;;;27,69
2025/03/01 11:31:00;A;;;;26,66
2025/03/01 11:32:00;A;;;;26,93
2025/03/01 11:35:00;A;;;;26,67
2025/03/01 11:37:00;A;;;;27,11
2025/03/01 11:39:00;A;;;;26,84
2025/03/01 11:40:00;A;;;;27,18
2025/03/01 11:41:00;A;;;;26,40
2025/03/01 11:42:00;A;;;;26,94
2025/03/01 11:45:00;P;;6,8;69,8;26,87
2025/03/01 11:46:00;A;;;;27,09
2025/03/01 11:47:00;A;;;;26,70
2025/03/01 11:50:00;A;;;;27,20
2025/03/01 11:51:00;A;;;;26,77
2025/03/01 11:53:00;A;;;;27,02
2025/03/01 11:54:00;A;;;;27,22
2025/03/01 11:55:00;A;;;;26,94
2025/03/01 12:00:00;A;;6,8;70,1;27,15
2025/03/01 12:00:01;P;;;;27,15
2025/03/01 12:02:00;A;;;;27,41
2025/03/01 12:03:00;A;;;;26,51
2025/03/01 12:04:00;A;;;;27,12
2025/03/01 12:05:00;A;;;;26,61
2025/03/01 12:06:00;A;;;;27,58
2025/03/01 12:07:00;A;;;;26,99
2025/03/01 12:08:00;A;;;;24,41
2025/03/01 12:09:00;A;;;;27,08
2025/03/01 12:11:00;A;;;;26,65
2025/03/01 12:13:00;A;;;;27,16
2025/03/01 12:14:00;A;;;;27,52
2025/03/01 12:15:00;A;;6,9;69,1;27,17
2025/03/01 12:15:01;P;;;;27,17
2025/03/01 12:17:00;A;;;;26,84
2025/03/01 12:18:00;A;;;;25,14
2025/03/01 12:19:00;A;;;;27,44
2025/03/01 12:20:00;A;;6,7;;26,61
2025/03/01 12:21:00;A;;;;27,81
2025/03/01 12:22:00;A;;;;27,05
2025/03/01 12:24:00;A;;;;26,66
2025/03/01 12:25:00;A;;;;27,21
2025/03/01 12:26:00;A;;;;26,81
2025/03/01 12:29:00;A;;;;26,52
2025/03/01 12:30:00;A;;6,7;69,7;26,93
2025/03/01 12:30:01;P;;;;26,93
2025/03/01 12:31:00;A;;;;27,86
2025/03/01 12:32:00;A;;;;29,13
2025/03/01 12:33:00;A;;;;25,44
2025/03/01 12:34:00;A;;;;24,61
2025/03/01 12:35:00;A;;;;27,23
2025/03/01 12:37:00;A;;;;28,03
2025/03/01 12:38:00;A;;;;27,03
2025/03/01 12:40:00;A;;;;26,78
2025/03/01 12:41:00;A;;;;27,06
2025/03/01 12:45:00;P;;6,8;69,4;26,93
2025/03/01 12:46:00;A;;;;26,37
2025/03/01 12:47:00;A;;;;27,19
2025/03/01 12:48:00;A;;;;26,79
2025/03/01 12:52:00;A;;;;27,24
2025/03/01 12:53:00;A;;;;26,93
2025/03/01 12:54:00;A;;;;26,37
2025/03/01 12:55:00;A;;;;27,03
2025/03/01 12:56:00;A;;;;26,13
2025/03/01 12:57:00;A;;;;27,37
2025/03/01 12:58:00;A;;;;27,15
2025/03/01 12:59:00;A;;;;25,65
2025/03/01 13:00:00;A;;6,8;70,7;27,58
2025/03/01 13:00:01;P;;;;27,58
2025/03/01 13:01:00;A;;;;27,01
2025/03/01 13:02:00;A;;;;24,34
2025/03/01 13:03:00;A;;;;26,63
2025/03/01 13:04:00;A;;;;26,93
2025/03/01 13:05:00;A;;;;27,19
2025/03/01 13:10:00;A;;;;26,01
2025/03/01 13:11:00;A;;;;27,37
