Date-time;Type;Metadato grafico storico;POZ002 - Parma - Misura pressione rete (bar);POZ002 - Parma - Misura portata rete modbus (l/s);POZ002 - Parma - Misura livello falda (m)
2025/03/02 20:55:00;A;;;;8,84
2025/03/02 21:00:00;P;;9,1;37,3;8,95
2025/03/02 21:01:00;A;;7,8;;8,56
2025/03/02 21:05:00;A;;;0,0;
2025/03/02 21:15:00;P;;8,0;0,0;8,55
2025/03/02 21:30:00;P;;7,9;0,0;8,56
2025/03/02 21:45:00;P;;8,1;0,0;8,56
2025/03/02 22:00:00;P;;8,0;0,0;8,55
2025/03/02 22:15:00;P;;8,0;0,0;8,55
2025/03/02 22:30:00;P;;8,2;0,0;8,55
2025/03/02 22:45:00;P;;8,2;0,0;8,54
2025/03/02 23:00:00;P;;8,3;0,0;8,55
2025/03/02 23:15:00;P;;8,4;0,0;8,55
2025/03/02 23:30:00;P;;8,4;0,0;8,55
2025/03/02 23:45:00;P;;8,4;0,0;8,54
2025/03/03 00:00:00;P;;8,5;0,0;8,55
2025/03/03 00:15:00;P;;8,6;0,0;8,51
2025/03/03 00:30:00;P;;8,6;0,0;8,54
2025/03/03 00:45:00;P;;8,6;0,0;8,54
2025/03/03 01:00:00;P;;8,6;0,0;8,54
2025/03/03 01:15:00;P;;8,6;0,0;8,54
2025/03/03 01:30:00;P;;8,6;0,0;8,54
2025/03/03 01:45:00;P;;8,6;0,0;8,54
2025/03/03 02:00:00;P;;8,6;0,0;8,54
2025/03/03 02:15:00;P;;8,7;0,0;8,54
2025/03/03 02:30:00;P;;8,7;0,0;8,53
2025/03/03 02:45:00;P;;8,6;0,0;8,54
2025/03/03 03:00:00;P;;8,6;0,0;8,55
2025/03/03 03:15:00;P;;8,7;0,0;8,54
2025/03/03 03:30:00;P;;8,7;0,0;8,55
2025/03/03 03:45:00;P;;8,7;0,0;8,53
2025/03/03 04:00:00;P;;8,7;0,0;8,56
2025/03/03 04:15:00;P;;8,6;0,0;8,53
2025/03/03 04:30:00;P;;8,6;0,0;8,53
2025/03/03 04:45:00;P;;8,5;0,0;8,53
2025/03/03 05:00:00;P;;8,5;0,0;8,54
2025/03/03 05:01:00;A;;9,1;;8,74
2025/03/03 05:05:00;A;;;31,9;9,08
2025/03/03 05:10:00;A;;;35,6;
2025/03/03 05:15:00;P;;9,1;35,9;8,91
