Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/01 18:30:00;P;;8,7;64,2;11,65
2025/03/01 18:40:00;A;;;67,3;10,57
2025/03/01 18:41:00;A;;;;11,61
2025/03/01 18:45:00;P;;8,7;68,9;11,61
2025/03/01 19:00:00;P;;8,7;67,2;11,64
2025/03/01 19:02:00;A;;;;9,86
2025/03/01 19:03:00;A;;;;11,63
2025/03/01 19:10:00;A;;;61,4;
2025/03/01 19:15:00;A;;8,7;65,1;11,63
2025/03/01 19:15:01;P;;;65,1;
2025/03/01 19:20:00;A;;;;11,26
2025/03/01 19:21:00;A;;;;11,57
2025/03/01 19:30:00;A;;8,7;62,4;11,33
2025/03/01 19:30:01;P;;;;11,33
2025/03/01 19:31:00;A;;;;11,61
2025/03/01 19:33:00;A;;;;11,37
2025/03/01 19:34:00;A;;;;11,65
2025/03/01 19:35:00;A;;;67,7;12,23
2025/03/01 19:36:00;A;;;;11,53
2025/03/01 19:40:00;A;;;62,5;
2025/03/01 19:42:00;A;;;;10,98
2025/03/01 19:43:00;A;;;;11,76
2025/03/01 19:45:00;A;;8,8;61,3;12,36
2025/03/01 19:45:01;P;;;;12,36
2025/03/01 19:46:00;A;;;;11,54
2025/03/01 19:50:00;A;;;;10,89
2025/03/01 19:51:00;A;;;;11,54
2025/03/01 19:54:00;A;;;;11,24
2025/03/01 19:55:00;A;;;;11,54
2025/03/01 20:00:00;P;;8,7;62,0;11,59
2025/03/01 20:05:00;A;;;67,4;
2025/03/01 20:15:00;P;;8,6;68,9;11,64
2025/03/01 20:27:00;A;;;;11,31
2025/03/01 20:28:00;A;;;;11,68
2025/03/01 20:30:00;P;;8,7;67,5;11,70
2025/03/01 20:35:00;A;;;71,4;
2025/03/01 20:40:00;A;;;62,3;
2025/03/01 20:41:00;A;;;;13,16
2025/03/01 20:42:00;A;;;;11,89
2025/03/01 20:43:00;A;;;;11,40
2025/03/01 20:45:00;A;;8,7;57,8;11,31
2025/03/01 20:45:01;P;;;57,8;
2025/03/01 20:48:00;A;;;;11,61
2025/03/01 20:52:00;A;;;;11,37
2025/03/01 20:55:00;A;;;53,1;
2025/03/01 20:58:00;A;;;;12,10
2025/03/01 20:59:00;A;;;;11,30
2025/03/01 21:00:00;P;;8,7;52,1;11,36
2025/03/01 21:01:00;A;;8,0;;10,81
2025/03/01 21:05:00;A;;;0,0;
2025/03/01 21:15:00;P;;8,0;0,0;10,79
2025/03/01 21:25:00;A;;8,2;;
2025/03/01 21:30:00;P;;8,2;0,0;10,79
2025/03/01 21:34:00;A;;8,0;;
2025/03/01 21:38:00;A;;8,2;;
2025/03/01 21:45:00;P;;8,0;0,0;10,79
2025/03/01 21:55:00;A;;8,2;;
2025/03/01 22:00:00;P;;8,2;0,0;10,78
2025/03/01 22:15:00;P;;8,2;0,0;10,78
2025/03/01 22:30:00;P;;8,2;0,0;10,78
2025/03/01 22:45:00;P;;8,3;0,0;10,78
2025/03/01 23:00:00;P;;8,4;0,0;10,77
2025/03/01 23:15:00;P;;8,3;0,0;10,78
2025/03/01 23:30:00;P;;8,4;0,0;10,78
2025/03/01 23:45:00;P;;8,5;0,0;10,78
2025/03/02 00:00:00;P;;8,5;0,0;10,78
2025/03/02 00:15:00;P;;8,5;0,0;10,77
2025/03/02 00:30:00;P;;8,5;0,0;10,77
2025/03/02 00:45:00;P;;8,6;0,0;10,77
2025/03/02 01:00:00;P;;8,6;0,0;10,77
2025/03/02 01:15:00;P;;8,6;0,0;10,77
2025/03/02 01:30:00;P;;8,6;0,0;10,77
2025/03/02 01:45:00;P;;8,6;0,0;10,77
2025/03/02 02:00:00;P;;8,5;0,0;10,77
2025/03/02 02:15:00;P;;8,6;0,0;10,77
2025/03/02 02:30:00;P;;8,6;0,0;10,77
2025/03/02 02:45:00;P;;8,6;0,0;10,76
2025/03/02 03:00:00;P;;8,6;0,0;10,76
2025/03/02 03:15:00;P;;8,5;0,0;10,76
2025/03/02 03:30:00;P;;8,5;0,0;10,76
2025/03/02 03:45:00;P;;8,5;0,0;10,76
2025/03/02 04:00:00;P;;8,5;0,0;10,76
2025/03/02 04:15:00;P;;8,6;0,0;10,76
2025/03/02 04:30:00;P;;8,4;0,0;10,76
