;;;;;;T:/acquedotto/modello_idraulico/Misure_portate_pressioni/svolgimento/dati;;;;;T:/acquedotto/modello_idraulico/calibrazione/iwws_live_data;;;
n;date_type;row1;sep;dir_in;type_inp;file_in;file_out;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
35;ITA;1;TAB;pozzi;simple_4;POLLER000000728_20231017_0000_20231103_2400_Tambosi.csv;cal35_POZ003_0728_28950_tambosi_q;meter;flow;l/s;POZ003/RIL001 - Tambosi - Misura portata rete modbus (l/s);;;
36;ITA;1;TAB;pozzi;simple_5;POLLER000000728_20231017_0000_20231103_2400_Tambosi.csv;cal36_POZ003_0728_28776_tambosi_rete_p;nodo;pressure;bar;POZ003/RIL001 - Tambosi - Misura pressione rete (bar);;;
37;ITA;1;TAB;pozzi;simple_3;POLLER000000731_20231017_0000_20231103_2400_Parma.csv;cal37_POZ002_0731_28772_parma_falda_liv;pozzo;level;m;POZ002 - Parma - Misura livello falda (m);;;
38;ITA;1;TAB;pozzi;simple_4;POLLER000000731_20231017_0000_20231103_2400_Parma.csv;cal38_POZ002_0731_28942_parma_q;meter;flow;l/s;POZ002 - Parma - Misura portata rete modbus (l/s);;;
39;ITA;1;TAB;pozzi;simple_5;POLLER000000731_20231017_0000_20231103_2400_Parma.csv;cal39_POZ002_0731_28774_parma_rete_p;nodo;pressure;bar;POZ002 - Parma - Misura pressione rete (bar);;;
40;ITA;1;TAB;pozzi;simple_3;POLLER000000732_20231017_0000_20231103_2400_Macello.csv;cal40_POZ008_0732_28772_macello_centr_ovest_falda_liv;pozzo;level;m;POZ008/10 - Macello - Misura livello falda Centrale (m);confermare corrispondenza con nodi: Macello_Ovest_nodo_monte, Macello_Est_nodo_monte;;
41;ITA;1;TAB;pozzi;simple_4;POLLER000000732_20231017_0000_20231103_2400_Macello.csv;cal41_POZ008_0732_28778_macello_foppa_est_falda_liv;pozzo;level;m;POZ008/10 - Macello - Misura livello falda Foppa (m);confermare corrispondenza con nodi: Macello_Ovest_nodo_monte, Macello_Est_nodo_monte;;
42;ITA;1;TAB;pozzi;simple_5;POLLER000000732_20231017_0000_20231103_2400_Macello.csv;cal42_POZ008_0732_28948_macello_q;meter;flow;l/s;POZ008/10 - Macello - Misura portata rete modbus (l/s);;;
43;ITA;1;TAB;pozzi;simple_6;POLLER000000732_20231017_0000_20231103_2400_Macello.csv;cal43_POZ008_0732_28774_macello_rete_p;nodo;pressure;bar;POZ008/10 - Macello - Misura pressione rete (bar);;;
44;ITA;1;TAB;pozzi;simple_2;POLLER000000735_20231017_0000_20231103_2400_Battisti.csv;cal44_POZ008_0735_28772_battisti_falda_liv;pozzo;level;m;POZ005 - Battisti - Misura livello falda (m);;;
45;ITA;1;TAB;pozzi;simple_3;POLLER000000735_20231017_0000_20231103_2400_Battisti.csv;cal45_POZ008_0735_28942_battisti_q;meter;flow;l/s;POZ005 - Battisti - Misura portata rete modbus (l/s);;;
46;ITA;1;TAB;pozzi;simple_4;POLLER000000735_20231017_0000_20231103_2400_Battisti.csv;cal46_POZ008_0735_28774_battisti_rete_p;nodo;pressure;bar;POZ005 - Battisti - Misura pressione rete (bar);;;
47;ITA;1;TAB;pozzi;simple_3;POLLER000000736_20231017_0000_20231103_2400_Petrarca.csv;cal47_POZ009_0736_28772_petrarca_falda_liv;pozzo;level;m;POZ009 - Petrarca - Misura livello falda (m);;;
48;ITA;1;TAB;pozzi;simple_4;POLLER000000736_20231017_0000_20231103_2400_Petrarca.csv;cal48_POZ009_0736_28942_petrarca_q;meter;flow;l/s;POZ009 - Petrarca - Misura portata rete modbus (l/s);;;
49;ITA;1;TAB;pozzi;simple_5;POLLER000000736_20231017_0000_20231103_2400_Petrarca.csv;cal49_POZ009_0736_28774_petrarca_rete_p;nodo;pressure;bar;POZ009 - Petrarca - Misura pressione rete (bar);;;
50;ITA;1;TAB;pozzi;simple_2;POLLER000000737_20231017_0000_20231103_2400_Cardano.csv;cal50_POZ006_0737_28772_cardano_falda_liv;pozzo;level;m;POZ006 - Cardano - Misura livello falda (m);;;
51;ITA;1;TAB;pozzi;simple_3;POLLER000000737_20231017_0000_20231103_2400_Cardano.csv;cal51_POZ006_0737_28944_cardano_q;meter;flow;l/s;POZ006 - Cardano - Misura portata rete modbus (l/s);;;
52;ITA;1;TAB;pozzi;simple_4;POLLER000000737_20231017_0000_20231103_2400_Cardano.csv;cal52_POZ006_0737_28774_cardano_rete_p;nodo;pressure;bar;POZ006 - Cardano - Misura pressione rete (bar);;;
53;ITA;1;TAB;pozzi;simple_2;POLLER000000738_20231017_0000_20231103_2400_Mazzini.csv;cal53_POZ007_0738_28772_mazzini_falda_liv;pozzo;level;m;POZ007 - Mazzini - Misura livello falda (m);[at: fondamentalmente non ci sono dati, tranne 3-4 righe];;
54;ITA;1;TAB;pozzi;simple_3;POLLER000000738_20231017_0000_20231103_2400_Mazzini.csv;cal54_POZ007_0738_28942_mazzini_q;meter;flow;l/s;POZ007 - Mazzini - Misura portata rete modbus (l/s);;;
