25m;;in;;;;;out;;;;;;;
meas;n;date_type;row1;sep;dir_in;type_inp;file_in;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
83_DST003_0765_20576_ponte_roma_q;83;STD;1;semicolon;.;simple_2;POLLER000000765_20250301_0000_20250320_2400.csv;meter;flow;l/s;Ponte Roma;;;
84_SER002_0756_28784_serb_s_maurizio_q;84;STD;1;semicolon;.;2q_4_5;POLLER000000756_20250301_0000_20250320_2400.csv;meter;flow;l/s;Serbatoio San Maurizio;;;
85_____rilancio_cep_q;85;STD;1;semicolon;.;;POLLER000000728_20250301_0000_20250320_2400.csv;meter;flow;l/s;Rilancio CEP;;;
86_DST005_0361_20496_H_01_ponte_resia_p;86;STD;1;semicolon;.;simple_1;pide_campagna_mis_p.csv;nodo;pressure;m;Ponte Resia;;;
87____H_02_lungo_talvera_gries_p;87;STD;1;semicolon;.;simple_2;pide_campagna_mis_p.csv;nodo;pressure;m;Lungo Talvera Gries;;;
88_DST002_0767_20576_ponte_druso_q;88;STD;1;semicolon;.;simple_3;pide_campagna_mis_p.csv;nodo;pressure;m;Via Druso, 1/A;;;
89_DST007_0837_20481_H_04_d_ega_carabin_p;89;STD;1;semicolon;.;simple_4;pide_campagna_mis_p.csv;nodo;pressure;m;Via Val d'Ega - Carabinieri;;;
90_DST006_0766_20481_H_05_rencio_x_s_giustina_p;90;STD;1;semicolon;.;simple_5;pide_campagna_mis_p.csv;nodo;pressure;m;Via Rencio incrocio via Santa Giustina;;;
91_DST003_0765_20481_H_06_ponte_roma_p;91;STD;1;semicolon;.;simple_6;pide_campagna_mis_p.csv;nodo;pressure;m;Ponte Roma;;;
92____H_07_c_firmiano_33_p;92;STD;1;semicolon;.;simple_7;pide_campagna_mis_p.csv;nodo;pressure;m;Via Castel Firmiano, 33;;;
93____H_08_vittorio_veneto_84_p;93;STD;1;semicolon;.;simple_8;pide_campagna_mis_p.csv;nodo;pressure;m;Via Vittorio Veneto, 84;;;
94____H_09_castel_roncolo_23_p;94;STD;1;semicolon;.;simple_9;pide_campagna_mis_p.csv;nodo;pressure;m;Via Castel Roncolo, 23;;;
95____H_10_portici_35_p;95;STD;1;semicolon;.;simple_10;pide_campagna_mis_p.csv;nodo;pressure;m;Via Portici, 35;;;
96____H_11_v_d_ega_43_p;96;STD;1;semicolon;.;simple_11;pide_campagna_mis_p.csv;nodo;pressure;m;Via Val d'Ega, 43;;;
97____H_12_p_zza_casagrande_p;97;STD;1;semicolon;.;simple_12;pide_campagna_mis_p.csv;nodo;pressure;m;Piazza M. Casagrande;;;
98____H_13_castel_weinegg_p;98;STD;1;semicolon;.;simple_13;pide_campagna_mis_p.csv;nodo;pressure;m;Via Castel Weinegg;;;
99____H_14_copernico_10_p;99;STD;1;semicolon;.;simple_14;pide_campagna_mis_p.csv;nodo;pressure;m;Via Copernico, 10;;;
100____H_15_campofranco_ipp_p;100;STD;1;semicolon;.;simple_15;pide_campagna_mis_p.csv;nodo;pressure;m;Via Campofranco - ippodromo;;;
